ID,EmriV,NrV,NrQV,NRVV,Komuna,EQV,01gja,02gja,P01KA,P02A,P02B,P03Perg,P04KVV,P04Fem,P05Lla,P05Ngj,P05Lis,P05Flv,P05Vul,P05Kut,P05Lib,P05Kab,P05ZFK,P06NFP,P07VNL,P08NKV,P09TKZ,P10SHS,P11NRS,P12KFV,PV1KHV,PDK,LDK,LVV,AAK,AKR,ParTj01,ParTj02,ParTj03,OJQ,Media,VzhND,VzhTjere,PV03UVL,PV04IDK,PV05GSH,PV06VUL,PV07-10,PV07-13,PV07-16,PV07-19,PV08ELV,PV09NVK,PV10VAS,PV11-3AN,PV12_Ref,PV12IFPo,ProcVotKom,PA01x1,PAifPO,PA02Fot,PA03M1F,PA04PPD,PA05DHU,PA06PRP,PA07M1P,PA08MBV,PA09VJK,PA10VAV,PA11VMF,PA12PAA,PA13INC,PM01PPV,PM02PJA,PM03LVT,PM04NUM,PM05-PDK,PM05-LDK,PM05-LVV,PM05-AAK,PM05-AKR,PM05-TJ1,PM05-TJ2,PM05-TJ3,PM05-OJQ,PM05-MED,PM05-VZH,PM05-TJE,PM06PPA,PM06KUSH,PM07VSH,PM08SHS,PM09SS,PM10NEN,PM11NVL,PM12NSH,PM13FVP,PM14PSH,PM15VSS,PM16ANA,PAK01,PAK02,PAK03,PAK04,PKK01,PKK02,PKK03,PKK04,VK00,VK01,VK02,PNR01,PNR02,PNR03,PNR04,PNR04Kush,PNR05Kom,VezhEm01,NrV01,VezhEm02,NrV02,KmnInc,Lokacioni,IncOra,IncTxt,IncVet,IncDeshm1,ID1Kon,IncDeshm2,ID2Kon,IncDeshm3,ID3Kon,IncKomTj,KomShtese,User,Time
1,,N/A,1804E,01R,Podujevë,Sh.F. Hamit Seljdiu,PO,JO,6:00 - 7:00,PO,JO,5:00 - 5:30,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,650,698,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,PD,LB,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,105,186,289,345,0,0,27,PO,JO,0,,JO,,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,LB,LD,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,690,345,PO,PO,PO,PO,308,35,PO,PO,345,5,PO,PO,0,0,,Gjithmonë,Gjithmonë,20:00 - 23:00,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/28/2013
2,,,1809e,1,Podujevë,Esat Mokuli,JO,JO,6:00 - 7:00,PO,PO,6:00 - 7:00,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,809,3,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,TRUE,TRUE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,113,240,420,514,3,0,7,PO,JO,0,,JO,,JO,JO,JO,JO,JO,PO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,809,514,JO,JO,PO,PO,514,44,PO,PO,514,7,PO,PO,0,0,,Gjithmonë,Gjithmonë,19:30 - 20:00,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/28/2013
3,,,1819e,01R,Podujevë,Sh-Drita - Majac,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,20,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,800,800,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,TRUE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,75,180,254,325,5,0,0,PO,JO,0,,JO,,JO,JO,JO,JO,JO,PO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,TRUE,FALSE,FALSE,,JO,,PO,PO,PO,PO,800,325,PO,PO,PO,PO,325,13,PO,PO,325,13,PO,PO,0,0,,Gjithmonë,Gjithmonë,20:00 - 23:00,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
4,,,180RE,01R,Podujevë,N/A,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,950,950,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,103,275,410,0,21,0,32,PO,JO,0,,JO,,JO,JO,JO,JO,JO,PO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,TRUE,FALSE,FALSE,,JO,,PO,PO,PO,PO,950,483,,,,,483,42,PO,PO,483,8,PO,PO,0,0,,Gjithmonë,,20:00 - 23:00,,,,,,,,,,,,,,,,,,,,"Procesi zgjedhor u zhvillua normalisht me disa parregullsi te vogla, kryesisht votimi familjar. Procesi I numerimit shkoj ashtu si duhet.",Besian 1,11/29/2013
5,,,1827e,01R,Podujevë,Zenel Hajdini,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1500,787,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,75,260,345,431,0,0,5,PO,JO,0,,JO,,JO,JO,JO,JO,JO,PO,JO,JO,0,0,N/A,N/A,19:00 - 19:30,JO,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,787,431,PO,PO,PO,,431,34,PO,PO,431,4,PO,PO,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
6,,,1805e,01X,Podujevë,Shefki Latifi - Pollate,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,9,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1300,669,2,,N/A,N/A,N/A,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,TRUE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,76,132,292,348,18,17,46,N/A,JO,0,"Ky vezhguesi e ka shkruar nr. E votuesve me asistence, 46, mirepo nuk besoj qe kjo qendron, shume po duket. Besiani",JO,,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,669,348,PO,PO,PO,PO,348,4,PO,PO,348,4,PO,PO,17,17,,Gjithmonë,Gjithmonë,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
7,,,1831e,01R,Podujevë,SH.M.U. Jetullah Gashi - Doberd,PO,N/A,6:00 - 7:00,PO,PO,6:00 - 7:00,21,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,528,912,3,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,184,225,465,528,0,0,0,PO,JO,0,Procesi I votimit ka shkuar ne rregull,JO,,JO,JO,JO,JO,JO,N/A,JO,JO,0,0,N/A,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,TRUE,,JO,,PO,PO,PO,PO,912,528,PO,,PO,PO,528,0,,,528,55,PO,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
8,,,1837e,01R,Podujevë,Gerdoc,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,32,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1050,1099,6,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,TRUE,K-VOTE,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,132,365,476,614,0,0,0,PO,JO,0,,JO,,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,TRUE,FALSE,FALSE,K-Vote,JO,,PO,PO,PO,PO,10599,614,PO,PO,PO,PO,614,9,PO,PO,0,19,PO,,0,0,,Gjithmonë,Gjithmonë,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
9,,,1812e,1,Podujevë,N/A,PO,PO,6:00 - 7:00,N/A,N/A,N/A,13,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,909,432,0,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,40,202,302,432,0,0,0,PO,JO,0,,JO,,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,N/A,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,909,432,,JO,PO,PO,432,44,,PO,432,5,,PO,0,0,,,Gjithmonë,20:00 - 23:00,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
10,,,1815e,01R,Podujevë,N/A,N/A,N/A,6:00 - 7:00,PO,N/A,N/A,13,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,870,445,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,TRUE,,Gjithmonë,Gjithmonë,Gjithmonë,N/A,91,124,319,359,0,0,0,PO,JO,0,,JO,,JO,JO,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,19:30 +,JO,,20:00 - 21:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,870,446,PO,PO,PO,PO,446,443,PO,PO,446,8,,,0,0,,,,20:00 - 23:00,,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
